当前排名,代码,股票名称,最新价,涨跌幅
1,01810,小米集团-W,51.2,0.79
2,00700,腾讯控股,557.5,-0.62
3,00981,中芯国际,50.55,3.8
4,09988,阿里巴巴-W,116.3,-1.86
5,09696,天齐锂业,46.76,-3.55
6,01024,快手-W,71.5,-9.38
7,01788,国泰君安国际,5.18,2.57
8,01347,华虹半导体,44.16,4.2
9,02228,晶泰控股,7.47,0.27
10,03690,美团-W,119.0,-0.17
11,01797,东方甄选,31.52,3.28
12,02196,复星医药,19.67,1.71
13,00285,比亚迪电子,39.5,2.12
14,01772,赣锋锂业,33.56,-1.29
15,02015,理想汽车-W,93.85,-1.26
16,09992,泡泡玛特,263.6,-2.8
17,01357,美图公司,10.14,-8.32
18,09880,优必选,92.4,-1.39
19,00553,南京熊猫电子股份,5.57,4.31
20,09868,小鹏汽车-W,81.55,-2.45
21,01211,比亚迪股份,111.3,-0.18
22,06979,珍酒李渡,7.99,8.86
23,01117,现代牧业,1.47,16.67
24,00020,商汤-W,1.64,0.61
25,02577,英诺赛科,68.4,1.48
26,01801,信达生物,87.75,-2.45
27,02359,药明康德,99.65,-1.82
28,09660,地平线机器人-W,7.24,-2.16
29,02269,药明生物,29.4,-1.08
30,09926,康方生物,156.1,-2.92
31,06088,FIT HON TENG,3.8,5.26
32,02550,宜搜科技,5.08,4.31
33,03896,金山云,7.1,-2.74
34,00268,金蝶国际,16.08,-7.96
35,01093,石药集团,10.07,-2.8
36,00175,吉利汽车,19.21,1.8
37,01877,君实生物,29.4,-2.84
38,09626,哔哩哔哩-W,175.5,-3.99
39,02172,微创脑科学,15.59,2.16
40,02013,微盟集团,2.31,-3.75
41,01860,汇量科技,11.43,1.51
42,03750,宁德时代,411.8,-0.84
43,01833,平安好医生,13.19,5.86
44,00763,中兴通讯,25.42,1.92
45,02318,中国平安,55.7,1.74
46,01114,华晨中国,3.6,7.14
47,06869,长飞光纤光缆,34.56,1.35
48,01530,三生制药,30.3,-0.59
49,02586,多点数智,10.76,8.47
50,06060,众安在线,17.31,0.0
51,02333,长城汽车,14.49,2.77
52,06683,巨星传奇,11.91,-1.89
53,01951,锦欣生殖,3.0,0.67
54,01918,融创中国,1.5,0.67
55,06160,百济神州,171.8,-1.66
56,09666,金科服务,6.73,3.54
57,06955,博安生物,17.59,-5.07
58,01709,德林控股,3.16,1.61
59,00853,微创医疗,13.0,-0.15
60,00883,中国海洋石油,18.76,1.08
61,06181,老铺黄金,749.5,-1.19
62,02533,黑芝麻智能,17.89,0.85
63,01088,中国神华,37.68,2.84
64,00568,山东墨龙,4.4,-2.0
65,02727,上海电气,3.66,-0.27
66,01276,恒瑞医药,74.9,-3.48
67,01072,东方电气,18.53,-0.27
68,09878,汇通达网络,16.62,-0.95
69,01177,中国生物制药,7.44,0.13
70,01548,金斯瑞生物科技,16.56,-3.94
71,00489,东风集团股份,,
72,09618,京东集团-SW,122.6,0.25
73,09858,优然牧业,4.35,7.94
74,02465,龙蟠科技,8.52,-0.12
75,02522,一脉阳光,15.92,-0.56
76,01880,中国中免,59.85,-1.32
77,03908,中金公司,20.3,1.65
78,01336,新华保险,48.02,1.95
79,00241,阿里健康,4.87,-1.62
80,06655,华新水泥,13.7,-1.58
81,01816,中广核电力,3.16,3.95
82,03678,弘业期货,4.71,-1.05
83,02469,粉笔,3.14,-4.27
84,02628,中国人寿,22.48,2.37
85,09995,荣昌生物,65.8,-1.13
86,06618,京东健康,53.6,2.1
87,09688,再鼎医药,26.62,-1.92
88,01919,中远海控,14.68,0.34
89,03738,阜博集团,5.49,0.0
90,06693,赤峰黄金,25.36,1.44
91,02097,蜜雪集团,443.0,-2.64
92,02202,万科企业,5.02,0.4
93,06682,第四范式,54.25,-3.3
94,00881,中升控股,14.22,3.64
95,00081,中国海外宏洋集团,2.27,9.66
96,01341,昊天国际建投,0.205,0.0
97,06127,昭衍新药,22.54,-2.25
98,06030,中信证券,28.26,0.21
99,09890,中旭未来,15.29,6.62
100,02498,速腾聚创,32.78,-1.32
