日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2025/08/12 13:57:00,00001,长和,CKH HOLDINGS,,51.15,-0.2,-0.38948,51.35,51.0,51.55,50.85,3190766,163388491,51.1,51.15
2025/08/12 13:57:22,00002,中电控股,CLP HOLDINGS,,66.95,-0.3,-0.4461,67.25,67.1,67.3,66.85,2453233,164384323,66.9,66.95
2025/08/12 13:56:11,00003,香港中华煤气,HK & CHINA GAS,,7.15,0.0,0.0,7.15,7.14,7.18,7.12,8030399,57499968,7.15,7.16
2025/08/12 13:56:43,00004,九龙仓集团,WHARF HOLDINGS,,21.68,-0.12,-0.55046,21.8,21.6,21.86,21.6,252947,5510176,21.68,21.7
2025/08/12 13:57:08,00005,汇丰控股,HSBC HOLDINGS,,99.85,-0.1,-0.10005,99.95,99.85,100.1,99.6,4955734,494811295,99.8,99.85
2025/08/12 13:56:54,00006,电能实业,POWER ASSETS,,52.65,-0.55,-1.03384,53.2,53.0,53.3,52.65,758474,40050488,52.65,52.75
2025/08/12 08:55:00,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,0.0,0.032,0.0,0.0,0.0,0,0,0.0,0.0
2025/08/12 13:57:15,00008,电讯盈科,PCCW,,5.5,-0.03,-0.5425,5.53,5.51,5.53,5.49,4804148,26486799,5.49,5.51
2025/08/12 08:55:00,00009,金奥国际,KEYNE LTD,,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0.0,0.0
2025/08/12 13:56:23,00010,恒隆集团,HANG LUNG GROUP,,14.3,-0.04,-0.27894,14.34,14.34,14.45,14.27,428761,6163183,14.3,14.31
2025/08/12 13:57:28,00011,恒生银行,HANG SENG BANK,,115.1,0.4,0.34874,114.7,114.7,115.5,114.1,1061263,121986724,115.1,115.2
2025/08/12 13:57:15,00012,恒基地产,HENDERSON LAND,,28.2,-0.28,-0.98315,28.48,28.6,28.6,28.1,2116622,59724682,28.16,28.2
2025/08/12 13:57:27,00013,和黄医药,HUTCHMED,,24.06,-0.1,-0.41391,24.16,24.24,24.3,23.68,9673000,231660460,24.04,24.06
2025/08/12 13:56:28,00014,希慎兴业,HYSAN DEV,,15.65,-0.12,-0.76094,15.77,15.62,15.75,15.62,736073,11549408,15.65,15.66
2025/08/12 13:56:44,00016,新鸿基地产,SHK PPT,,93.95,-0.35,-0.37116,94.3,94.0,94.7,93.85,919644,86594432,93.95,94.0
2025/08/12 13:57:08,00017,新世界发展,NEW WORLD DEV,,6.63,-0.3,-4.329,6.93,6.97,6.97,6.62,16255654,109108736,6.63,6.64
2025/08/12 13:39:57,00018,东方企控集团,ORIENTAL E H,,0.355,-0.015,-4.05405,0.37,0.355,0.365,0.355,42000,14930,0.355,0.365
2025/08/12 13:51:38,00019,太古股份公司Ａ,SWIRE PACIFIC A,,67.55,0.05,0.07407,67.5,67.5,67.9,67.4,586439,39680079,67.55,67.6
2025/08/12 13:57:26,00020,商汤－Ｗ,SENSETIME-W,,1.64,0.01,0.6135,1.63,1.63,1.68,1.6,333786486,547549201,1.64,1.65
2025/08/12 13:12:36,00021,大中华控股,GREAT CHI HLDGS,,0.133,0.004,3.10078,0.129,0.133,0.133,0.133,10000,1330,0.127,0.132
2025/08/12 13:06:02,00022,茂盛控股,MEXAN,,0.16,-0.004,-2.43902,0.164,0.174,0.174,0.158,3240000,541120,0.159,0.164
2025/08/12 13:57:01,00023,东亚银行,BANK OF E ASIA,,12.83,0.02,0.15613,12.81,12.81,12.88,12.78,272328,3494232,12.81,12.83
2025/08/12 13:46:16,00025,CHEVALIER INT'L,CHEVALIER INT'L,,3.96,0.0,0.0,3.96,3.96,3.96,3.96,6000,23760,3.97,4.11
2025/08/12 13:46:27,00026,中华汽车,CHINA MOTOR BUS,,60.0,0.2,0.33445,59.8,59.95,60.1,59.95,9400,564070,59.65,60.1
2025/08/12 13:57:24,00027,银河娱乐,GALAXY ENT,,40.28,0.72,1.82002,39.56,39.32,40.52,39.1,11154047,444796390,40.28,40.32
2025/08/12 13:45:48,00028,天安,TIAN AN,,4.74,0.03,0.63694,4.71,4.7,4.74,4.7,102000,480990,4.72,4.75
2025/08/12 13:57:28,00029,达力集团,DYNAMIC HOLD,,12.99,0.04,0.30888,12.95,13.02,13.02,12.87,80000,1034340,12.92,13.0
2025/08/12 13:57:12,00030,云白国际,YNBY INTL,,0.265,-0.025,-8.62069,0.29,0.29,0.29,0.265,6988000,1912900,0.26,0.265
2025/08/12 13:52:58,00031,航天控股,CHINA AEROSPACE,,0.5,-0.01,-1.96078,0.51,0.51,0.52,0.5,2572800,1302824,0.5,0.51
2025/08/12 13:55:17,00032,港通控股,CROSS-HAR(HOLD),,8.22,0.01,0.1218,8.21,8.19,8.22,8.19,7355,60232,8.22,8.35
2025/08/12 11:22:49,00033,INTL GENIUS,INTL GENIUS,,0.62,-0.01,-1.5873,0.63,0.63,0.64,0.62,192000,120060,0.62,0.63
2025/08/12 13:17:21,00034,九龙建业,KOWLOON DEV,,3.36,-0.05,-1.46628,3.41,3.39,3.39,3.36,105000,354440,3.36,3.37
2025/08/12 13:54:07,00035,远东发展,FE CONSORT INTL,,0.87,0.07,8.75,0.8,0.8,0.87,0.8,1984137,1663029,0.85,0.87
2025/08/12 13:46:59,00036,远东控股国际,FE HLDGS INTL,,0.285,0.02,7.54717,0.265,0.28,0.29,0.28,138000,39180,0.275,0.315
2025/08/12 13:07:24,00037,远东酒店实业,FE HOTELS,,0.47,-0.005,-1.05263,0.475,0.465,0.47,0.46,390000,180590,0.465,0.47
2025/08/12 13:52:59,00038,第一拖拉机股份,FIRST TRACTOR,,7.17,0.0,0.0,7.17,7.22,7.22,7.13,478000,3427080,7.17,7.18
2025/08/12 13:56:40,00039,中国北大荒,CH BEIDAHUANG,,0.095,0.0,0.0,0.095,0.098,0.099,0.092,5992000,576544,0.095,0.097
2025/08/12 11:26:14,00040,金山科技工业,GOLD PEAK,,0.66,0.0,0.0,0.66,0.71,0.71,0.66,195000,133670,0.66,0.68
2025/08/12 13:51:44,00041,鹰君,GREAT EAGLE H,,14.61,-0.15,-1.01626,14.76,14.56,14.65,14.5,141000,2059829,14.61,14.64
2025/08/12 13:18:48,00042,东北电气,NE ELECTRIC,,0.31,0.0,0.0,0.31,0.305,0.32,0.3,138000,42150,0.3,0.31
2025/08/12 13:57:24,00045,大酒店,HK&S HOTELS,,5.83,-0.04,-0.68143,5.87,5.85,5.85,5.81,27594,161343,5.83,5.85
2025/08/12 13:00:02,00046,科联系统,COMPUTER & TECH,,1.6,0.0,0.0,1.6,0.0,0.0,0.0,0,0,1.57,1.64
2025/08/12 13:53:35,00048,中国汽车内饰,C AUTO INT DECO,,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0,0,0.182,0.192
2025/08/12 13:10:31,00050,香港小轮（集团）,HK FERRY (HOLD),,4.95,0.0,0.0,4.95,4.95,4.95,4.93,64000,315580,4.93,4.95
2025/08/12 13:53:48,00051,海港企业,HARBOUR CENTRE,,4.5,0.04,0.89686,4.46,4.5,4.5,4.5,4000,18000,4.42,4.5
2025/08/12 13:53:53,00052,大快活集团,FAIRWOOD HOLD,,5.5,-0.06,-1.07914,5.56,5.5,5.5,5.5,500,2750,5.51,5.58
2025/08/12 13:49:41,00053,国浩集团,GUOCO GROUP,,74.05,0.0,0.0,74.05,0.0,0.0,0.0,1000,74100,74.05,75.9
2025/08/12 13:53:19,00055,中星集团控股,NEWAY GROUP,,0.235,0.02,9.30233,0.215,0.235,0.235,0.235,10000,2350,0.203,0.228
2025/08/12 11:56:11,00057,震雄集团,CHEN HSONG HOLD,,1.64,-0.01,-0.60606,1.65,1.65,1.65,1.64,4000,6580,1.64,1.65
