SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001002,物业厂房及设备,19585867000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001004,无形资产,8138204000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001009,递延税项资产,3037605000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001017,长期投资,3477489000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001019,其他投资,6222997000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001022,指定以公允价值记账之金融资产,61563538000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001030,中长期存款,73265512000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001997,非流动资产其他项目,18927984000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004001999,非流动资产合计,194219196000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002001,存货,61416913000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002003,应收帐款,17285786000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002004,应收票据,2371833000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002005,预付款按金及其他应收款,29280684000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002008,短期投资,403430000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002009,受限制存款及现金,5315030000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002010,现金及等价物,86171927000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002011,短期存款,16717922000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002013,指定以公允价值记账之金融资产(流动),26943860000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002020,贷款及垫款(流动),9989781000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004002999,流动资产合计,255897166000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004009999,总资产,450116362000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011001,应付帐款,93753960000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011003,应付税项,3816651000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011008,其他应付款及应计费用,35975107000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011009,预收款项,16260249000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011010,短期贷款,12713769000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011012,拨备(流动),7677008000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004011999,流动负债合计,170196744000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004013999,净流动资产,85700422000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004015999,总资产减流动负债,279919618000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004020001,长期贷款,18230916000.0,2025-03-31 00:00:00
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,004020003,递延税项负债,1644527000.0,2025-03-31 00:00:00
