SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,003999,经营业务现金净额,4509497000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,005999,投资业务现金净额,9920811000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,006999,融资前现金净额,14430308000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,007999,融资业务现金净额,38077395000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,010999,现金净额,52507703000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,011001,期初现金,33661442000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,011997,期间变动其他项目,2782000
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,011999,期末现金,86171927000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),28126653000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001002,减:利息收入,3836204000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001003,加:利息支出,212447000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001004,减:投资收益,298647000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,5762582000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,9147000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,2691990000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001011,加:购股权开支,3726085000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,2392350000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,38768109000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002001,存货(增加)减少,-24131971000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,-8387158000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),36092511000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,1200898000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),-5353379000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),7876262000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002012,贷款和垫款(增加)减少,-2567194000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002014,存款(增加)减少,-735361000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,42762717000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003003,已付税项,3467218000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,39295499000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005001,已收利息(投资),3646092000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005002,已收股息(投资),427139000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005003,存款减少(增加),-23446909000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005004,处置固定资产,358488000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,7297307000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005006,处置无形资产及其他资产,1544837000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005010,收回投资所得现金,107752313000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005011,投资支付现金,118367260000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005997,投资业务其他项目,-3784000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,-35386391000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,006999,融资前现金净额,3909108000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007001,新增借款,25998066000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007002,偿还借款,19265488000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007004,已付股息(融资),1790035000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007005,吸收投资所得,2053079000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007008,回购股份,4047876000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007011,偿还融资租赁,2476524000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007013,购买子公司少数股权而支付的现金,75809000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007997,融资业务其他项目,-4394389000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007999,融资业务现金净额,-3998976000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,010999,现金净额,-89868000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011001,期初现金,33631313000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011997,期间变动其他项目,119997000
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011999,期末现金,33661442000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,15388685000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,-6319313000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,006999,融资前现金净额,9069372000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,007999,融资业务现金净额,-3099077000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,010999,现金净额,5970295000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,011001,期初现金,33631313000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,011997,期间变动其他项目,53746000
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,011999,期末现金,39655354000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,002999,经营产生现金,5021874000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,003003,已付税项,2491299000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,2530575000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005001,已收利息(投资),1850478000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005002,已收股息(投资),123761000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005003,存款减少(增加),276150000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005004,处置固定资产,254311000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005005,购建固定资产,2267908000
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,005006,处置无形资产及其他资产,769837000
