SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004001001,营业额,111293337000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004001999,营运收入,111293337000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004005002,销售成本,85887427000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004007999,毛利,25405910000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010001,其他收入,161766000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010002,其他收益,172328000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010003,销售及分销费用,7199817000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010004,行政开支,1530094000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010006,重估盈余,2827022000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010010,研发费用,6711708000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004010999,经营溢利,13125407000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011200,利息收入,1003965000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011201,融资成本,961404000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004011999,除税前溢利,13167968000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004012001,税项,2275222000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004012002,持续经营业务税后利润,10892746000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004012999,除税后溢利,10892746000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004025001,少数股东损益,-31575000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004025002,股东应占溢利,10924321000.0
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004027002,每股基本盈利,0.44
01810.HK,01810,小米集团-W,10932245,2025-03-31 00:00:00,003,12-31,2025-01-01 00:00:00,004027003,每股摊薄盈利,0.42
