日期,开盘,收盘,最高,最低,成交量,成交额
2025-08-04 09:45:00,53.4,54.1,54.25,53.35,13978400,753527870.0
2025-08-04 10:00:00,54.05,54.15,54.3,53.7,5813200,314217920.0
2025-08-04 10:15:00,54.1,54.55,54.65,53.95,8757600,476127640.0
2025-08-04 10:30:00,54.55,54.65,54.8,54.4,8361600,456769050.0
2025-08-04 10:45:00,54.65,54.6,54.75,54.45,3812400,208203760.0
2025-08-04 11:00:00,54.6,54.4,54.65,54.4,3207800,174894910.0
2025-08-04 11:15:00,54.4,54.5,54.6,54.4,2219600,120955600.0
2025-08-04 11:30:00,54.45,54.6,54.65,54.4,1945200,106090650.0
2025-08-04 11:45:00,54.6,54.55,54.6,54.5,1058200,57726050.0
2025-08-04 12:00:00,54.55,54.6,54.65,54.5,1047000,57157040.0
2025-08-04 13:15:00,54.65,54.35,54.75,54.35,3168200,172878270.0
2025-08-04 13:30:00,54.35,54.5,54.6,54.3,1695800,92339070.0
2025-08-04 13:45:00,54.45,54.35,54.5,54.3,1839800,100046260.0
2025-08-04 14:00:00,54.35,54.4,54.45,54.25,3755800,204172500.0
2025-08-04 14:15:00,54.45,54.55,54.55,54.35,1649800,89830500.0
2025-08-04 14:30:00,54.55,54.55,54.65,54.5,2427400,132459820.0
2025-08-04 14:45:00,54.55,54.5,54.6,54.45,2027800,110581440.0
2025-08-04 15:00:00,54.5,54.55,54.6,54.45,1258200,68636130.0
2025-08-04 15:15:00,54.55,54.55,54.65,54.5,3870200,211242520.0
2025-08-04 15:30:00,54.55,54.65,54.7,54.5,3119000,170256430.0
2025-08-04 15:45:00,54.65,54.65,54.75,54.6,3422600,187125420.0
2025-08-04 16:00:00,54.65,54.55,54.7,54.55,12997400,709591958.0
2025-08-05 09:45:00,54.65,55.3,55.35,54.65,14376200,790934120.0
2025-08-05 10:00:00,55.3,55.0,55.3,54.85,5212400,286880360.0
2025-08-05 10:15:00,54.95,54.9,55.0,54.7,4480200,245642160.0
2025-08-05 10:30:00,54.85,54.7,54.9,54.7,3332600,182524250.0
2025-08-05 10:45:00,54.7,54.6,54.9,54.45,5206400,284546420.0
2025-08-05 11:00:00,54.6,54.75,54.75,54.5,2005800,109556220.0
2025-08-05 11:15:00,54.7,54.65,54.8,54.6,1797800,98380070.0
2025-08-05 11:30:00,54.7,54.65,54.8,54.55,2007800,109776930.0
2025-08-05 11:45:00,54.65,54.6,54.7,54.5,1403200,76563600.0
2025-08-05 12:00:00,54.55,54.6,54.7,54.5,1478600,80702030.0
2025-08-05 13:15:00,54.55,54.55,54.65,54.3,4017000,218709810.0
2025-08-05 13:30:00,54.55,54.2,54.55,54.15,4679600,254186330.0
2025-08-05 13:45:00,54.2,54.35,54.45,54.2,2067600,112282570.0
2025-08-05 14:00:00,54.4,54.25,54.4,54.2,2206400,119766430.0
2025-08-05 14:15:00,54.25,54.3,54.35,54.2,1896000,102886280.0
2025-08-05 14:30:00,54.3,54.3,54.35,54.25,1353600,73518430.0
2025-08-05 14:45:00,54.35,54.4,54.45,54.3,1533800,83395940.0
2025-08-05 15:00:00,54.4,54.25,54.4,54.2,2441200,132483130.0
2025-08-05 15:15:00,54.3,54.25,54.3,54.2,2935200,159264610.0
2025-08-05 15:30:00,54.25,54.25,54.35,54.15,3764000,204197060.0
2025-08-05 15:45:00,54.25,54.15,54.3,54.1,5322000,288352030.0
2025-08-05 16:00:00,54.15,54.3,54.3,54.1,13782600,747551724.0
2025-08-06 09:45:00,54.2,53.8,54.25,53.65,6383000,343742510.0
2025-08-06 10:00:00,53.75,54.15,54.15,53.75,3040000,164152430.0
2025-08-06 10:15:00,54.15,53.95,54.15,53.8,2635200,142174680.0
2025-08-06 10:30:00,53.9,53.9,54.05,53.8,2092400,112809850.0
2025-08-06 10:45:00,53.9,53.85,53.9,53.75,2617400,140895420.0
2025-08-06 11:00:00,53.8,53.9,53.95,53.7,2406000,129525760.0
2025-08-06 11:15:00,53.9,53.85,54.0,53.8,1732800,93394570.0
2025-08-06 11:30:00,53.9,54.15,54.25,53.8,2431800,131467030.0
2025-08-06 11:45:00,54.15,54.1,54.2,54.0,1217200,65835220.0
2025-08-06 12:00:00,54.05,54.1,54.1,54.0,936600,50640410.0
2025-08-06 13:15:00,54.1,54.1,54.25,54.0,2694200,145835440.0
2025-08-06 13:30:00,54.1,53.95,54.15,53.9,1815800,98108420.0
2025-08-06 13:45:00,53.95,54.05,54.1,53.9,961400,51920330.0
2025-08-06 14:00:00,54.05,54.05,54.1,54.0,1063400,57473870.0
2025-08-06 14:15:00,54.05,54.05,54.1,54.0,1055200,57021370.0
2025-08-06 14:30:00,54.1,54.05,54.1,54.0,840200,45412740.0
2025-08-06 14:45:00,54.05,54.0,54.05,53.9,1836000,99130890.0
2025-08-06 15:00:00,54.0,54.05,54.05,53.95,1693600,91440640.0
2025-08-06 15:15:00,54.05,54.1,54.1,54.0,2147000,116037630.0
2025-08-06 15:30:00,54.1,54.25,54.25,54.05,2832400,153427490.0
2025-08-06 15:45:00,54.2,54.1,54.25,54.05,2692200,145770630.0
2025-08-06 16:00:00,54.05,54.0,54.1,53.95,10591600,572028250.0
2025-08-07 09:45:00,52.2,52.55,52.8,52.0,69956600,3659140630.0
2025-08-07 10:00:00,52.55,51.8,52.55,51.8,30824600,1606050662.0
2025-08-07 10:15:00,51.85,51.6,52.0,51.55,23252000,1204639030.0
2025-08-07 10:30:00,51.65,51.4,51.7,51.2,24312600,1251688798.0
2025-08-07 10:45:00,51.4,51.65,51.85,51.35,11781800,608232830.0
2025-08-07 11:00:00,51.6,51.5,51.7,51.35,10038200,517248340.0
2025-08-07 11:15:00,51.45,51.45,51.5,51.3,8500200,436988970.0
2025-08-07 11:30:00,51.4,51.5,51.55,51.4,10086400,519275980.0
2025-08-07 11:45:00,51.5,51.55,51.65,51.35,9072600,467214130.0
2025-08-07 12:00:00,51.55,51.65,51.85,51.5,6606400,341511630.0
2025-08-07 13:15:00,51.7,51.8,51.9,51.5,7617000,393683880.0
2025-08-07 13:30:00,51.8,51.85,51.9,51.65,5487000,284231740.0
2025-08-07 13:45:00,51.85,51.7,51.9,51.7,3735800,193565010.0
2025-08-07 14:00:00,51.7,51.65,51.75,51.65,3708400,191723310.0
2025-08-07 14:15:00,51.65,51.7,51.7,51.6,6915800,357255980.0
2025-08-07 14:30:00,51.65,51.85,51.9,51.65,6057000,313458710.0
2025-08-07 14:45:00,51.9,51.85,51.9,51.75,3493000,181028560.0
2025-08-07 15:00:00,51.85,52.0,52.0,51.75,5074400,263183980.0
2025-08-07 15:15:00,52.0,51.85,52.0,51.75,5710200,296189070.0
2025-08-07 15:30:00,51.8,51.7,51.85,51.7,7439400,385207090.0
2025-08-07 15:45:00,51.75,51.8,51.85,51.7,8990800,465391410.0
2025-08-07 16:00:00,51.75,51.85,51.85,51.65,21553400,1116215894.0
2025-08-08 09:45:00,51.4,51.3,51.9,51.25,17604200,907020700.0
2025-08-08 10:00:00,51.25,51.4,51.65,51.2,10024400,515655750.0
2025-08-08 10:15:00,51.4,51.7,51.75,51.35,5775400,297570010.0
2025-08-08 10:30:00,51.7,51.65,51.85,51.65,3881800,200811190.0
2025-08-08 10:45:00,51.65,51.6,51.8,51.45,5349200,276119760.0
2025-08-08 11:00:00,51.6,51.7,51.75,51.6,2014600,104084120.0
2025-08-08 11:15:00,51.7,51.6,51.7,51.5,2301400,118739220.0
2025-08-08 11:30:00,51.55,51.65,51.7,51.5,1951800,100730550.0
2025-08-08 11:45:00,51.65,51.6,51.7,51.55,2032600,104867860.0
2025-08-08 12:00:00,51.6,51.65,51.65,51.5,2188800,112904140.0
2025-08-08 13:15:00,51.65,51.45,51.65,51.45,4395200,226436900.0
2025-08-08 13:30:00,51.45,51.4,51.55,51.4,2773200,142761430.0
2025-08-08 13:45:00,51.4,51.3,51.45,51.25,4527400,232494280.0
