date,value
2024-08-12,2.23
2024-08-13,2.29
2024-08-14,2.28
2024-08-15,2.32
2024-08-16,2.34
2024-08-17,2.34
2024-08-18,2.34
2024-08-19,2.38
2024-08-20,2.39
2024-08-21,2.31
2024-08-22,2.52
2024-08-23,2.48
2024-08-24,2.48
2024-08-25,2.48
2024-08-26,2.47
2024-08-27,2.49
2024-08-28,2.5
2024-08-29,2.49
2024-08-30,2.57
2024-08-31,2.57
2024-09-01,2.57
2024-09-02,2.52
2024-09-03,2.53
2024-09-04,2.46
2024-09-05,2.45
2024-09-06,2.45
2024-09-07,2.45
2024-09-08,2.45
2024-09-09,2.46
2024-09-10,2.46
2024-09-11,2.5
2024-09-12,2.5
2024-09-13,2.54
2024-09-14,2.54
2024-09-15,2.54
2024-09-16,2.54
2024-09-17,2.58
2024-09-18,2.58
2024-09-19,2.61
2024-09-20,2.62
2024-09-21,2.62
2024-09-22,2.62
2024-09-23,2.71
2024-09-24,2.8
2024-09-25,2.71
2024-09-26,2.84
2024-09-27,2.9
2024-09-28,2.9
2024-09-29,2.9
2024-09-30,2.97
2024-10-01,2.97
2024-10-02,3.17
2024-10-03,3.17
2024-10-04,3.24
2024-10-05,3.24
2024-10-06,3.24
2024-10-07,3.41
2024-10-08,3.13
2024-10-09,3.08
2024-10-10,3.13
2024-10-11,3.13
2024-10-12,3.13
2024-10-13,3.13
2024-10-14,3.11
2024-10-15,3.04
2024-10-16,3.0
2024-10-17,3.05
2024-10-18,3.24
2024-10-19,3.24
2024-10-20,3.24
2024-10-21,3.2
2024-10-22,3.23
2024-10-23,3.37
2024-10-24,3.33
2024-10-25,3.43
2024-10-26,3.43
2024-10-27,3.43
2024-10-28,3.37
2024-10-29,3.41
2024-10-30,3.43
2024-10-31,3.52
2024-11-01,3.6
2024-11-02,3.6
2024-11-03,3.6
2024-11-04,3.6
2024-11-05,3.72
2024-11-06,3.64
2024-11-07,3.68
2024-11-08,3.74
2024-11-09,3.74
2024-11-10,3.74
2024-11-11,3.87
2024-11-12,3.76
2024-11-13,3.82
2024-11-14,3.68
2024-11-15,3.7
2024-11-16,3.7
2024-11-17,3.7
2024-11-18,3.66
2024-11-19,3.59
2024-11-20,3.56
2024-11-21,3.58
2024-11-22,3.63
2024-11-23,3.63
2024-11-24,3.63
2024-11-25,3.61
2024-11-26,3.45
2024-11-27,3.59
2024-11-28,3.54
2024-11-29,3.52
2024-11-30,3.52
2024-12-01,3.52
2024-12-02,3.63
2024-12-03,3.7
2024-12-04,3.7
2024-12-05,3.74
2024-12-06,3.8
2024-12-07,3.8
2024-12-08,3.8
2024-12-09,3.93
2024-12-10,3.93
2024-12-11,3.87
2024-12-12,4.02
2024-12-13,3.98
2024-12-14,3.98
2024-12-15,3.98
2024-12-16,3.86
2024-12-17,3.81
2024-12-18,3.93
2024-12-19,3.93
2024-12-20,4.04
2024-12-21,4.04
2024-12-22,4.04
2024-12-23,4.05
2024-12-24,4.18
2024-12-25,4.18
2024-12-26,4.18
2024-12-27,4.36
2024-12-28,4.36
2024-12-29,4.36
2024-12-30,4.4
2024-12-31,4.41
2025-01-01,4.41
2025-01-02,4.34
2025-01-03,4.63
2025-01-04,4.63
2025-01-05,4.63
2025-01-06,4.63
2025-01-07,4.36
2025-01-08,4.19
2025-01-09,4.31
2025-01-10,4.29
2025-01-11,4.29
2025-01-12,4.29
2025-01-13,4.19
2025-01-14,4.31
2025-01-15,4.29
2025-01-16,4.39
2025-01-17,4.46
2025-01-18,4.46
2025-01-19,4.46
2025-01-20,4.43
2025-01-21,4.59
2025-01-22,4.51
2025-01-23,4.41
2025-01-24,4.71
