date,value
2024-08-12,21.34
2024-08-13,21.91
2024-08-14,21.86
2024-08-15,22.29
2024-08-16,22.42
2024-08-17,22.42
2024-08-18,22.42
2024-08-19,22.81
2024-08-20,22.89
2024-08-21,21.11
2024-08-22,23.01
2024-08-23,22.67
2024-08-24,22.67
2024-08-25,22.67
2024-08-26,22.55
2024-08-27,22.77
2024-08-28,22.87
2024-08-29,22.77
2024-08-30,23.52
2024-08-31,23.52
2024-09-01,23.52
2024-09-02,22.99
2024-09-03,23.13
2024-09-04,22.5
2024-09-05,22.36
2024-09-06,22.36
2024-09-07,22.36
2024-09-08,22.36
2024-09-09,22.46
2024-09-10,22.5
2024-09-11,22.87
2024-09-12,22.82
2024-09-13,23.18
2024-09-14,23.18
2024-09-15,23.18
2024-09-16,23.2
2024-09-17,23.54
2024-09-18,23.54
2024-09-19,23.88
2024-09-20,23.98
2024-09-21,23.98
2024-09-22,23.98
2024-09-23,24.78
2024-09-24,25.57
2024-09-25,24.78
2024-09-26,25.93
2024-09-27,26.47
2024-09-28,26.47
2024-09-29,26.47
2024-09-30,27.14
2024-10-01,27.14
2024-10-02,28.95
2024-10-03,29.01
2024-10-04,29.61
2024-10-05,29.61
2024-10-06,29.61
2024-10-07,31.18
2024-10-08,28.59
2024-10-09,28.11
2024-10-10,28.65
2024-10-11,28.65
2024-10-12,28.65
2024-10-13,28.65
2024-10-14,28.47
2024-10-15,27.75
2024-10-16,27.38
2024-10-17,27.87
2024-10-18,29.62
2024-10-19,29.62
2024-10-20,29.62
2024-10-21,29.25
2024-10-22,29.5
2024-10-23,30.82
2024-10-24,30.46
2024-10-25,31.3
2024-10-26,31.3
2024-10-27,31.3
2024-10-28,30.76
2024-10-29,31.18
2024-10-30,31.37
2024-10-31,32.21
2024-11-01,32.93
2024-11-02,32.93
2024-11-03,32.93
2024-11-04,32.93
2024-11-05,34.02
2024-11-06,33.3
2024-11-07,33.6
2024-11-08,34.15
2024-11-09,34.15
2024-11-10,34.15
2024-11-11,35.35
2024-11-12,34.33
2024-11-13,34.87
2024-11-14,33.6
2024-11-15,33.79
2024-11-16,33.79
2024-11-17,33.79
2024-11-18,33.49
2024-11-19,32.91
2024-11-20,32.56
2024-11-21,32.73
2024-11-22,33.2
2024-11-23,33.2
2024-11-24,33.2
2024-11-25,33.02
2024-11-26,31.63
2024-11-27,32.91
2024-11-28,32.38
2024-11-29,32.27
2024-11-30,32.27
2024-12-01,32.27
2024-12-02,33.2
2024-12-03,33.84
2024-12-04,33.84
2024-12-05,34.25
2024-12-06,34.77
2024-12-07,34.77
2024-12-08,34.77
2024-12-09,36.01
2024-12-10,36.01
2024-12-11,35.43
2024-12-12,36.76
2024-12-13,36.47
2024-12-14,36.47
2024-12-15,36.47
2024-12-16,35.31
2024-12-17,34.84
2024-12-18,36.0
2024-12-19,36.0
2024-12-20,37.0
2024-12-21,37.0
2024-12-22,37.0
2024-12-23,37.11
2024-12-24,38.28
2024-12-25,38.28
2024-12-26,38.28
2024-12-27,39.92
2024-12-28,39.92
2024-12-29,39.92
2024-12-30,40.27
2024-12-31,40.33
2025-01-01,40.33
2025-01-02,39.74
2025-01-03,42.37
2025-01-04,42.37
2025-01-05,42.37
2025-01-06,42.43
2025-01-07,39.93
2025-01-08,38.35
2025-01-09,39.47
2025-01-10,39.23
2025-01-11,39.23
2025-01-12,39.23
2025-01-13,38.35
2025-01-14,39.47
2025-01-15,39.29
2025-01-16,40.17
2025-01-17,40.87
2025-01-18,40.87
2025-01-19,40.87
2025-01-20,40.58
2025-01-21,41.98
2025-01-22,41.28
2025-01-23,40.34
2025-01-24,43.09
2025-01-25,43.09
2025-01-26,43.09
2025-01-27,43.38
2025-01-28,44.79
2025-01-29,44.79
2025-01-30,44.79
2025-01-31,44.79
2025-02-01,44.79
2025-02-02,44.79
2025-02-03,44.38
2025-02-04,46.25
2025-02-05,46.37
2025-02-06,47.42
2025-02-07,49.65
2025-02-08,49.65
2025-02-09,49.65
2025-02-10,51.17
2025-02-11,49.76
2025-02-12,51.58
2025-02-13,48.71
2025-02-14,52.28
2025-02-15,52.28
2025-02-16,52.28
2025-02-17,52.8
2025-02-18,56.61
2025-02-19,57.83
2025-02-20,57.48
2025-02-21,60.47
2025-02-22,60.47
2025-02-23,60.47
2025-02-24,60.35
2025-02-25,62.22
2025-02-26,65.85
2025-02-27,62.1
2025-02-28,60.64
2025-03-01,60.64
2025-03-02,60.64
2025-03-03,59.59
2025-03-04,59.12
2025-03-05,63.39
2025-03-06,64.22
2025-03-07,63.57
2025-03-08,63.57
2025-03-09,63.57
2025-03-10,61.82
2025-03-11,63.05
2025-03-12,60.88
2025-03-13,61.82
2025-03-14,62.99
2025-03-15,62.99
2025-03-16,62.99
2025-03-17,65.27
2025-03-18,56.67
2025-03-19,57.21
2025-03-20,55.54
2025-03-21,53.77
2025-03-22,53.77
2025-03-23,53.77
2025-03-24,56.03
2025-03-25,52.49
2025-03-26,53.03
2025-03-27,50.82
2025-03-28,50.18
2025-03-29,50.18
2025-03-30,50.18
2025-03-31,49.91
2025-04-01,47.17
2025-04-02,45.19
2025-04-03,46.56
2025-04-04,46.56
2025-04-05,46.56
2025-04-06,46.56
2025-04-07,36.98
2025-04-08,39.46
2025-04-09,42.51
2025-04-10,43.67
2025-04-11,44.89
2025-04-12,44.89
2025-04-13,44.89
2025-04-14,43.82
2025-04-15,43.72
2025-04-16,41.85
2025-04-17,42.56
2025-04-18,42.56
2025-04-19,42.56
2025-04-20,42.56
2025-04-21,42.56
2025-04-22,45.04
2025-04-23,48.14
2025-04-24,48.9
2025-04-25,48.39
2025-04-26,48.39
2025-04-27,48.39
2025-04-28,48.24
2025-04-29,48.19
2025-04-30,50.73
2025-05-01,50.73
